업체명,업종,평점,방문자리뷰,블로그리뷰,주소,영업시간,전화번호,필터,URL,위도,경도
르미야,양식,4.43,"1,533",723,서울 용산구 이촌로77길 19 1층 르미야,브레이크타임,02-797-9135,"데이트, 넓은, 혼밥, 회식",https://tinyurl.com/2cjd4v7u,37.5205539,126.9751716
스노우볼,"카페,디저트",,257,204,서울 용산구 이촌로65가길 72 동인상가 107호,영업 중,0507-1300-7491,"데이트, 가족모임",https://tinyurl.com/2yulnbwu,37.5207019,126.974843
니꼬니꼬 by roh,한식,4.93,203,192,서울 용산구 이촌로77길 19 2층,영업 전,0507-1384-1065,"데이트, 넓은, 회식, 가족모임",https://tinyurl.com/27vzu3ut,37.5207539,126.9751353
더피자사운즈,피자,4.24,803,346,서울 용산구 양녕로 445 B동 2층,오늘 휴무,0507-1483-0251,"데이트, 넓은, 회식",https://tinyurl.com/23svow9l,37.5176599,126.9576879
헬카페 스피리터스,"카페,디저트",4.41,321,521,서울 용산구 이촌로 248 한강맨션 31동 208호,영업 중,070-7612-4687,데이트,https://tinyurl.com/2bpk482e,37.519292,126.9752885
코펜바인 비스트로,와인,,39,114,서울 용산구 이촌로 319 라동 113호,영업 중,02-792-8318,데이트,https://tinyurl.com/29tsvo7k,37.5179645,126.9826206
후투타코,양식,,"1,219",241,서울 용산구 양녕로 445 노들섬 2층 A-9호,영업 중,0507-1320-2160,"데이트, 넓은, 혼밥, 회식",https://tinyurl.com/2xll9wkd,37.5173979,126.9580834
디카 서울,바(BAR),,113,188,서울 용산구 이촌로 20 1층,오늘 휴무,070-7699-0014,"데이트, 회식",https://tinyurl.com/22o7r3lw,37.5299891,126.954235
제주청정삼다돈 이촌직영점,돼지고기구이,4.25,686,254,서울 용산구 이촌로75길 16 한동아파트,브레이크타임,02-792-3392,"데이트, 넓은, 회식, 가족모임",https://tinyurl.com/22hcfgf7,37.5206095,126.9743625
이촌연가,요리주점,4.29,157,139,서울 용산구 이촌로 245 로얄상가,영업 전,02-797-5792,데이트,https://tinyurl.com/223lp9yn,37.5200227,126.9741757
와세다야 이촌점,일식당,4.52,141,162,서울 용산구 이촌로88길 3 점보아파트,영업 전,02-796-0608,"데이트, 넓은, 회식, 가족모임",https://tinyurl.com/24p3ordk,37.5182306,126.9787885
나무와,피자,4.36,329,196,서울 용산구 이촌로75길 12 2층 나무와화덕피자집,브레이크타임,02-749-1177,"데이트, 넓은, 회식, 가족모임",https://tinyurl.com/244hmwqb,37.5203867,126.9742468
스시사이,"초밥,롤",4.64,112,172,서울 용산구 이촌로64길 26 spe빌딩2층,브레이크타임,02-792-6748,데이트,https://tinyurl.com/2cskfnd5,37.5198283,126.9699085
솜씨 이촌,한식,4.35,460,594,서울 용산구 이촌로65가길 78 2층,브레이크타임,02-793-3888,"데이트, 넓은, 혼밥, 회식, 가족모임",https://tinyurl.com/2cbfjmcp,37.5207872,126.9752424
한강회관,"육류,고기요리",,438,578,서울 용산구 이촌로75길 10-3 2층,브레이크타임,0507-1404-9855,"데이트, 넓은, 회식, 가족모임",https://tinyurl.com/23kcqvpv,37.5203672,126.9743329
이촌닭한마리야,한식,,77,42,"서울 용산구 이촌로77길 19 내제1층 301-31,301-30호",브레이크타임,0507-1462-8863,"데이트, 넓은, 가족모임",https://tinyurl.com/24lmjxqo,37.5205532,126.9746667
이촌동 풍금,"육류,고기요리",,193,164,서울 용산구 이촌로 319 라동 1층 103~104호,오늘 휴무,0507-1474-1252,"데이트, 가족모임",https://tinyurl.com/2agclelm,37.5179628,126.98208
카페 올두바이,"카페,디저트",,936,83,"서울 용산구 양녕로 445 노들섬 복합문화공간, A동 2층",오늘 휴무,0507-1372-1986,"데이트, 넓은",https://tinyurl.com/253yghaw,37.5181581,126.9577361
골목집,포장마차,4.63,224,397,서울 용산구 이촌로75길 22 골목집,영업 중,02-792-9846,"데이트, 가족모임",https://tinyurl.com/29sqjkyd,37.5207016,126.9746524
스마일이촌떡볶이,종합분식,4.35,"2,128",354,서울 용산구 이촌로65가길 72,영업 중,02-749-5507,"데이트, 넓은, 혼밥, 가족모임",https://tinyurl.com/25k6czbc,37.5208846,126.9750275
소산,이자카야,4.38,143,161,서울 용산구 이촌로77길 19 이촌종합상가(이촌종합시장 옆 골목) 내 파란벽 1층건물,영업 전,02-794-6748,데이트,https://tinyurl.com/2ysoyhlo,37.5206098,126.9745964
키친아이,브런치,4.59,158,126,서울 용산구 이촌로 248 31동 상가 204호,오늘 휴무,02-794-9711,"데이트, 가족모임",https://tinyurl.com/26lg4kc5,37.5193821,126.9750921
