건물명,전체주소,가시성등급,거리,거리등급,점포수,상권발달등급,혼잡도비율,쾌적도등급,접근성소요시간,접근성등급,추천장소이름,장소종류,추천장소여부,Longitude,Latitude,지역1,지역2,지역3,도로명,우편번호,상세주소1,상세주소2
상도신동아리버파크아파트,서울특별시 동작구 만양로 19,3,2.5978880943065636,3,391.0,4,1.274201020697825,5,583.0,2,,공동주택,,126.946768,37.507522,서울특별시,동작구,노량진동,만양로,06920,19,
세방글로벌시티,서울특별시 마포구 독막로 100,4,2.3591039564263814,3,570.0,2,1.1121645792532693,4,214.0,1,,업무시설,,126.924873,37.547387,서울특별시,마포구,상수동,독막로,04075,100,
여의도고등학교,서울특별시 영등포구 국제금융로7길 37,3,0.9006904402197049,1,2138.0,1,1.8626141135104726,5,428.0,1,,교육연구시설,,126.934062,37.524438,서울특별시,영등포구,여의도동,국제금융로7길,07338,37,
한음빌딩,서울특별시 마포구 신촌로20길 22,4,2.6649039084198263,3,1686.5,1,0.9932577193081039,2,137.0,1,,제2종근린생활시설,,126.938282,37.554297,서울특별시,마포구,노고산동,신촌로20길,04102,22,
이레빌딩,서울특별시 영등포구 선유동2로 57,5,3.9032377246030507,4,418.0,4,1.0390500250995784,3,650.0,2,,업무시설,,126.896887,37.533831,서울특별시,영등포구,양평동4가,선유동2로,07212,57,
보라매e편한세상아파트,서울특별시 동작구 보라매로 70,5,4.069047683279371,5,270.0,4,0.9222882901784298,1,490.0,2,,제1종근린생활시설,,126.928021,37.495295,서울특별시,동작구,신대방동,보라매로,07054,70,
효사정,서울특별시 동작구 현충로 55,4,2.934089985827225,3,404.0,4,1.162448450048809,5,532.0,2,,관광휴게시설,,126.9629,37.5106,서울특별시,동작구,흑석동,현충로,06904,55,
가로판매대50,서울특별시 영등포구 여의동로 300-2,1,0.8041224122892247,1,2138.0,1,1.8626141135104726,5,369.0,1,,비건물,,126.9363,37.5242,서울특별시,영등포구,여의도동,여의동로,07337,300,2
대성학원,서울특별시 동작구 노량진로 120,3,1.9355361710477488,2,391.0,4,1.274201020697825,5,190.0,1,,제2종근린생활시설,,126.939558,37.513052,서울특별시,동작구,노량진동,노량진로,06928,120,
유해발굴감식단,서울특별시 동작구 현충로 250,5,4.848700892623032,5,443.0,3,0.9602495413609072,1,718.0,2,국립서울현충원,공공,yes,126.9814,37.5009,서울특별시,동작구,동작동,현충로,06984,250,
학교법인홍익학원,서울특별시 마포구 와우산로 94,5,2.619800725109355,3,570.0,2,1.1121645792532693,4,745.0,2,,교육연구시설,,126.926428,37.550982,서울특별시,마포구,상수동,와우산로,04066,94,
래미안상도3차아파트,서울특별시 동작구 상도로53길 8,5,3.7146239691115737,4,251.25,4,0.9900528040084795,2,478.0,2,,공동주택,,126.956038,37.499237,서울특별시,동작구,상도동,상도로53길,06977,8,
엘지한강자이아파트,서울특별시 용산구 이촌로64길 15,5,2.9069969958781705,3,120.5,5,2.1869272628538243,,569.0,2,,공동주택,,126.971363,37.520353,서울특별시,용산구,이촌동,이촌로64길,04427,15,
(주)신한 여의도 드림리버 오피스텔,서울특별시 영등포구 은행로 54,5,1.4479785498560098,2,2138.0,1,1.8626141135104726,5,656.0,2,,업무시설,,126.924545,37.529743,서울특별시,영등포구,여의도동,은행로,07241,54,
명수대상가,서울특별시 동작구 현충로 111,5,3.3465904560371236,4,404.0,4,1.162448450048809,5,423.0,1,,제1종근린생활시설,,126.966203,37.507965,서울특별시,동작구,흑석동,현충로,06904,111,
한강밤섬자이,서울특별시 마포구 토정로 158,4,1.9220101327885557,2,570.0,2,1.1121645792532693,4,553.0,2,,공동주택,,126.92823,37.544465,서울특별시,마포구,하중동,토정로,04080,158,
신촌삼익아파트 상가동,서울특별시 마포구 신수로 105,3,2.3056841615661785,3,228.0,5,1.1025530925160576,3,243.0,1,,판매및영업시설,,126.936237,37.550821,서울특별시,마포구,신수동,신수로,04095,105,
산학협력관,서울특별시 서대문구 북아현로 150,5,4.342062315466982,5,124.0,5,0.977268954619857,2,1154.0,3,,비건물,,126.9513,37.5686,서울특별시,서대문구,북아현동,북아현로,03759,150,
